"group_uid","player.treatment","subsession.round_number","manager","player.price"
"botno_2__g5","M_no_W_no",10,"exp",260
"MnoWe_1__g1","M_no_W_exp",10,"exp",479
"MnoWe_1__g2","M_no_W_exp",10,"exp",160
"MnoWe_1__g3","M_no_W_exp",10,"exp",415
"MnoWe_1__g4","M_no_W_exp",10,"exp",485
"MnoWe_1__g5","M_no_W_exp",10,"exp",120
"MnoWe_2__g1","M_no_W_exp",10,"exp",202
"MnoWe_2__g2","M_no_W_exp",10,"exp",299
"MnoWe_2__g3","M_no_W_exp",10,"exp",500
"MnoWe_2__g4","M_no_W_exp",10,"exp",598
"MnoWe_2__g5","M_no_W_exp",10,"exp",347
"MeWno_1__g1","M_exp_W_no",10,"exp",229
"MeWno_1__g2","M_exp_W_no",10,"exp",400
"MeWno_1__g3","M_exp_W_no",10,"exp",310
"MeWno_1__g4","M_exp_W_no",10,"exp",206
"MeWno_1__g5","M_exp_W_no",10,"exp",350
"MeWno_2__g1","M_exp_W_no",10,"exp",120
"MeWno_2__g2","M_exp_W_no",10,"exp",300
"MeWno_2__g3","M_exp_W_no",10,"exp",268
"MeWno_2__g4","M_exp_W_no",10,"exp",351
"MeWno_2__g5","M_exp_W_no",10,"exp",449
"bothe_1__g1","M_exp_W_exp",10,"exp",258
"bothe_1__g2","M_exp_W_exp",10,"exp",100
"bothe_1__g3","M_exp_W_exp",10,"exp",170
"bothe_1__g4","M_exp_W_exp",10,"exp",440
"bothe_1__g5","M_exp_W_exp",10,"exp",291
"bothe_2__g1","M_exp_W_exp",10,"exp",295
"bothe_2__g2","M_exp_W_exp",10,"exp",170
"bothe_2__g3","M_exp_W_exp",10,"exp",140
"bothe_2__g4","M_exp_W_exp",10,"exp",125
"bothe_2__g5","M_exp_W_exp",10,"exp",142
"bothno_1__g1","M_no_W_no",1,"no",100
"bothno_1__g2","M_no_W_no",1,"no",130
"bothno_1__g3","M_no_W_no",1,"no",150
"bothno_1__g4","M_no_W_no",1,"no",100
"bothno_1__g5","M_no_W_no",1,"no",150
"botno_2__g1","M_no_W_no",1,"no",100
